DATA,VALOR,DESCRIÇÃO,CATEGORIA,OPERAÇÃO,MOVIMENTAÇÃO,ARCHIVE
2022-12-02,"65,2",Fonte do Churrasco,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2022-01-02,"65,06",Padaria Remmar,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-02
2023-12-03,"64,95",Fulldarin,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2022-06-15,"64,49",Pag*Tonolucro,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-07
2022-09-08,64,Pag*Doracivieira,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2024-04-06,"63,9",Bk Brasil Operacao Ass,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2022-11-26,63,Arm. Familia Alves,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2023-04-14,63,Manos Beer,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-09-24,"62,8",Pag*Fabiolakelede,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2024-04-08,62,Posto Carmenia S.A,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-22,"60,5",Pag*Xuxubebidas,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-03-01,60,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-07-23,60,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2024-02-17,60,Helton Apolinario de S,Papelaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-04-17,60,39911756 Maria Del Car,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-03-05,"58,75",Maria Selma Real,Outros,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2022-06-04,57,Mp *Casasanduiche,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-07
2024-02-05,56,Pag*Xuxubebidas,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-05-03,"55,8",Minuto Pa,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2022-11-23,"53,99",Pag*Steam,Assinaturas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2024-03-17,"53,23",Vila Aymore,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
